model,MAE,RMSE,MAPE,sMAPE
LSTM,17.752,25.763,29.019,36.505
Naive,17.917,25.696,29.767,36.513
"SARIMA(1,1,1)(1,0,1,52)",18.663,26.855,29.881,38.625
"ARIMA(1,1,1)",18.77,26.979,30.097,39.189
XGBoost-lag8,19.966,27.926,32.264,42.332
MA(4),20.028,28.309,32.035,42.306
Prophet,25.029,33.145,41.086,56.725
