term,recent_count,baseline_mean,baseline_std,z_score,spike_ratio,weeks_seen,first_seen
fucking,65.0,1.0,0.0,64.0,32.5,2,2021-04-19
april,84.0,2.0,1.41,33.97,28.0,4,2020-12-28
owner,61.0,1.83,0.75,33.76,21.53,6,2021-01-18
reunion,31.0,1.0,0.0,30.0,15.5,1,2021-01-25
spring,129.0,6.78,3.35,28.12,16.59,9,2020-12-28
girls,30.0,2.0,0.0,28.0,10.0,1,2021-02-01
puma,26.0,1.0,0.0,25.0,13.0,3,2021-03-15
faith,25.0,1.0,0.0,24.0,12.5,2,2021-01-04
marni,25.0,1.0,0.0,24.0,12.5,1,2021-02-22
appear,71.0,2.73,1.85,23.97,19.05,11,2020-12-28
psychological,24.0,1.0,0.0,23.0,12.0,2,2021-02-01
essential,24.0,1.0,0.0,23.0,12.0,7,2021-01-04
unit,23.0,1.0,0.0,22.0,11.5,1,2021-01-04
adida,23.0,1.0,0.0,22.0,11.5,1,2023-01-09
ahead,42.0,1.8,0.84,21.89,15.0,5,2021-01-18
gray,22.0,1.0,0.0,21.0,11.0,1,2021-05-17
atmosphere,21.0,1.0,0.0,20.0,10.5,1,2021-02-22
camouflage,21.0,1.0,0.0,20.0,10.5,1,2021-01-25
lineup,20.0,1.0,0.0,19.0,10.0,2,2021-01-11
markdown,20.0,1.0,0.0,19.0,10.0,2,2022-09-26
pack,28.0,1.83,0.41,18.58,9.88,6,2020-12-28
cargo,48.0,2.25,1.5,18.3,14.77,4,2021-01-25
longing,20.0,2.0,0.0,18.0,6.67,1,2021-03-08
lately,19.0,1.0,0.0,18.0,9.5,4,2021-02-08
pilling,19.0,1.0,0.0,18.0,9.5,1,2026-03-02
shrinkage,18.0,2.0,0.0,16.0,6.0,1,2021-07-19
jogger,28.0,1.5,0.71,15.52,11.2,2,2021-01-11
weekly,25.0,1.5,0.52,15.44,10.0,12,2021-03-01
nike,40.0,3.12,1.46,15.0,9.7,8,2020-12-28
pricing,16.0,1.0,0.0,15.0,8.0,4,2021-04-19
archival,16.0,1.0,0.0,15.0,8.0,3,2023-05-01
not,30.0,1.5,1.0,14.25,12.0,4,2021-02-01
crossover,15.0,1.0,0.0,14.0,7.5,2,2021-01-04
netflix,15.0,1.0,0.0,14.0,7.5,3,2021-01-04
min,15.0,1.0,0.0,14.0,7.5,1,2023-12-25
benjamin,15.0,1.0,0.0,14.0,7.5,1,2021-01-25
karnataka,15.0,1.0,0.0,14.0,7.5,1,2026-01-12
typical,15.0,1.0,0.0,14.0,7.5,1,2021-01-25
gear,32.0,2.33,1.15,13.77,9.6,3,2021-01-04
room,49.0,3.7,2.45,13.12,10.43,10,2020-12-28
sweat,22.0,1.33,0.58,13.1,9.43,3,2021-03-15
blotchy,14.0,1.0,0.0,13.0,7.0,1,2022-05-16
garner,14.0,1.0,0.0,13.0,7.0,2,2021-03-01
brazil,15.0,2.0,0.0,13.0,5.0,1,2021-06-14
scour,14.0,1.0,0.0,13.0,7.0,1,2023-02-27
colorway,14.0,1.0,0.0,13.0,7.0,1,2023-11-27
carrier,14.0,1.0,0.0,13.0,7.0,1,2021-05-03
partner,28.0,2.1,0.99,12.99,9.03,10,2021-01-04
embrace,28.0,1.75,1.04,12.9,10.18,8,2021-01-04
summer,68.0,4.27,3.98,12.8,12.9,11,2020-12-28
