model,MAE,RMSE,MAPE,sMAPE,topic_id
Naive,124.8,168.09521111560557,63.38154072114428,98.90487985241293,0
MA(4),128.05,170.522029368642,66.21511197486527,104.52994731213177,0
"ARIMA(1,1,1)",127.69599237183418,170.16610151576742,66.0239158258831,104.00486984189068,0
"SARIMA(1,1,1)(1,0,1,52)",127.71176055252798,170.1496772481616,66.06480597065074,104.05881521529892,0
Prophet,152.45569147404152,189.64899578950983,87.3564114862372,156.51901977266775,0
XGBoost-lag8,125.34549560546876,168.32616150742703,63.96028403299009,99.99019197449094,0
LSTM,127.97320739373531,170.4610333262092,66.15181780161375,104.3976064953948,0
Naive,173.2,245.03387520912287,84.84446658472126,149.48088281233342,1
MA(4),183.2,252.2015067361811,94.94815552824042,181.070606836159,1
"ARIMA(1,1,1)",184.58175821518142,253.0263013178219,96.63872202162736,187.11805418584248,1
"SARIMA(1,1,1)(1,0,1,52)",184.56958372127932,252.99935019150695,96.65817390201701,187.19669969839637,1
Prophet,186.46136913021965,254.73771746213754,98.07527706827163,192.5169813932555,1
XGBoost-lag8,185.3771140575409,253.8436288127664,97.03743602184804,188.71176859280172,1
LSTM,184.48631134381534,253.1685061766393,96.28711149709218,185.95408127492146,1
Naive,49.4,65.06150935845248,67.64614363205912,107.50343964978111,2
MA(4),57.4,71.32601208535354,86.13406155659676,152.80270006076458,2
"ARIMA(1,1,1)",56.643266360141375,70.77046786301285,84.25089150583467,147.52736828749596,2
"SARIMA(1,1,1)(1,0,1,52)",56.495381347365154,70.64704978834482,83.92183891925245,146.60124897254997,2
Prophet,61.57433029572162,74.80898532823512,95.60455338242477,183.40921245594106,2
XGBoost-lag8,57.7593905210495,72.44442341225297,84.25481531924491,152.44054832613145,2
LSTM,49.8278454728552,65.40673805662448,68.5957309003679,109.51810755454805,2
Naive,140.2,176.3706324760446,73.25224724924844,121.59292461924038,3
MA(4),159.2,191.82074965967576,90.19249065805775,165.59987122401526,3
"ARIMA(1,1,1)",143.9524175319115,177.7845536929717,78.00444972266074,131.50433149185173,3
