model,MAE,RMSE,MAPE,sMAPE,keyword
Naive,10.25,12.031209415515965,39.949732341036686,30.88129191070368,cottagecore
MA(4),8.75,10.720890821195784,24.005234854419637,27.235189548134574,cottagecore
"ARIMA(1,1,1)",10.6312689475706,12.761711948122256,42.09998808136623,31.727595328055024,cottagecore
"SARIMA(1,1,1)(1,0,1,52)",12.077465028423813,14.876908223296875,48.509555673821545,34.87278895178948,cottagecore
Prophet,8.155938122288196,11.233060893034887,20.440490585085694,24.780547524400223,cottagecore
XGBoost-lag8,12.466163635253906,14.178879904500164,47.77942844245931,36.06824779982897,cottagecore
LSTM,7.765123187040776,9.049001837226786,23.16091320510952,20.363967895903283,cottagecore
Naive,34.75,40.721615881494685,75.9651567944251,48.4899435565044,quiet luxury
MA(4),28.0,30.923292192132454,58.25130662020905,41.95956087784515,quiet luxury
"ARIMA(1,1,1)",34.15573749614545,39.74796467284118,74.3786769769157,47.97370766809582,quiet luxury
"SARIMA(1,1,1)(1,0,1,52)",34.17409719453026,39.83133904248433,74.48882517881191,47.982962353536905,quiet luxury
Prophet,22.508656406567848,25.779329110840578,43.710328653195276,35.395919335312165,quiet luxury
XGBoost-lag8,35.787607192993164,40.15105959311499,76.08303141843152,49.74247852097464,quiet luxury
LSTM,41.26573430529367,48.823545607321904,90.6731906761781,53.96945138943525,quiet luxury
Naive,11.5,13.019216566291536,44.25462067483345,33.85642135642135,y2k fashion
MA(4),9.0,10.062305898749054,27.7551310982162,27.830692686380292,y2k fashion
"ARIMA(1,1,1)",11.396088733303628,12.865888290271156,43.72461351971135,33.624895037558,y2k fashion
"SARIMA(1,1,1)(1,0,1,52)",11.419785892169067,12.90574578485313,43.85078033648241,33.67672547986428,y2k fashion
Prophet,8.803688382370684,9.627375849695335,28.094413428291432,27.23990387690795,y2k fashion
XGBoost-lag8,5.63629150390625,6.3704667832851705,17.523122233163917,17.425842867037254,y2k fashion
LSTM,16.649999864289367,19.608255536958342,65.88887260134743,44.15151589528797,y2k fashion
