channel,n_rising_hits,mean_weeks_to_peak,median_weeks_to_peak,p25_weeks,p75_weeks,min_weeks,max_weeks,early_warning_pct
topics,70,4.77,4.0,3.25,7.0,1,8,74.3
trends,4,3.75,3.5,2.0,5.25,2,6,50.0
