term,recent_count,baseline_mean,baseline_std,z_score,spike_ratio,weeks_seen,first_seen
imgur,20.0,5.0,0.0,15.0,3.33,1,2026-02-16
unicorn,16.0,3.0,0.0,13.0,4.0,1,2021-04-12
gucci,19.0,1.17,0.41,12.66,8.77,6,2021-01-04
sparkle,34.0,2.67,1.8,11.18,9.27,9,2020-12-28
sublimation,12.0,1.0,0.0,11.0,6.0,1,2026-02-09
pokemon,12.0,1.0,0.0,11.0,6.0,1,2021-03-15
soundtrack,13.0,2.0,0.0,11.0,4.33,1,2021-01-11
picture,32.0,2.73,1.85,10.28,8.59,11,2021-01-11
video,25.0,2.64,1.29,9.78,6.88,11,2021-01-04
outlet,10.0,1.0,0.0,9.0,5.0,2,2021-01-25
monster,10.0,1.0,0.0,9.0,5.0,1,2023-03-13
demna,10.0,1.0,0.0,9.0,5.0,1,2021-01-04
box,17.0,2.0,0.71,8.79,5.67,9,2020-12-28
etc,15.0,2.25,0.5,8.5,4.62,4,2021-04-12
commission,20.0,2.0,1.15,8.35,6.67,4,2021-01-25
copy,10.0,2.0,0.0,8.0,3.33,1,2021-01-25
closet,9.0,1.0,0.0,8.0,4.5,3,2021-02-01
furry,9.0,1.0,0.0,8.0,4.5,2,2022-01-31
furryart,9.0,1.0,0.0,8.0,4.5,2,2026-01-12
current,9.0,1.0,0.0,8.0,4.5,5,2021-01-04
plush,10.0,2.0,0.0,8.0,3.33,1,2021-10-25
burberry,13.0,1.25,0.5,7.83,5.78,4,2021-01-18
youtube,16.0,1.8,0.84,7.73,5.71,5,2021-01-18
album,24.0,4.75,1.5,7.7,4.17,4,2021-01-04
bank,12.0,1.17,0.41,7.69,5.54,6,2021-02-22
recent,17.0,1.8,1.03,7.48,6.07,10,2020-12-28
fendi,16.0,1.75,0.96,7.28,5.82,4,2021-01-11
thread,38.0,5.5,3.47,7.27,5.85,10,2021-01-04
boutique,14.0,1.5,0.76,7.12,5.6,8,2021-01-04
silvana,8.0,1.0,0.0,7.0,4.0,1,2024-09-16
miniature,8.0,1.0,0.0,7.0,4.0,1,2021-06-14
jones,8.0,1.0,0.0,7.0,4.0,4,2021-01-04
vlog,9.0,2.0,0.0,7.0,3.0,1,2026-02-02
transparent,8.0,1.0,0.0,7.0,4.0,3,2021-04-12
warrant,8.0,1.0,0.0,7.0,4.0,1,2021-02-22
gorgeous,8.0,1.0,0.0,7.0,4.0,3,2021-04-19
vgm,8.0,1.0,0.0,7.0,4.0,1,2026-01-19
file,8.0,1.0,0.0,7.0,4.0,2,2021-02-22
opaque,8.0,1.0,0.0,7.0,4.0,3,2021-01-18
commercial,8.0,1.0,0.0,7.0,4.0,7,2021-01-04
suspend,8.0,1.0,0.0,7.0,4.0,2,2021-06-21
judge,11.0,1.17,0.41,6.98,5.08,6,2021-01-11
basic,11.0,1.17,0.41,6.98,5.08,6,2021-01-18
vision,12.0,1.5,0.55,6.78,4.8,6,2021-01-04
voice,15.0,3.5,0.71,6.74,3.33,2,2020-12-28
fabric,27.0,4.0,2.45,6.67,5.4,9,2021-01-04
opinion,14.0,2.0,0.82,6.61,4.67,4,2021-04-26
royal,10.0,1.17,0.41,6.27,4.62,6,2021-01-04
cottage,12.0,1.5,0.71,6.15,4.8,2,2021-02-22
fire,17.0,3.0,1.32,6.03,4.25,9,2021-01-25
