model,MAE,RMSE,MAPE,sMAPE,topic_id
Naive,35.375,53.421671632400276,44.31199295119636,63.75478122226526,0
MA(4),39.125,55.975441043371866,52.665194008516906,77.25450085737968,0
"ARIMA(1,1,1)",38.75301366095753,55.648405175403,52.05015943470066,75.94975308876442,0
"SARIMA(1,1,1)(1,0,1,52)",38.69650059561504,55.58087586162375,52.004590336477406,75.78724528169613,0
Prophet,53.495902629716035,66.7941386535694,84.58770463357523,148.02257666821654,0
XGBoost-lag8,36.31782579421997,53.79979301178902,47.11764276239768,67.36335953568984,0
LSTM,35.59100831169037,53.57610974861201,44.76751682695203,64.48197717737418,0
Naive,46.375,83.40638464769948,12500069.571315674,149.3505201958384,1
MA(4),45.375,81.6539956156464,53125077.969758295,129.38980638687835,1
"ARIMA(1,1,1)",45.402299688238216,82.32985002702272,37210576.153445266,122.40764606401915,1
"SARIMA(1,1,1)(1,0,1,52)",45.39646992391528,82.29199415340014,38094511.255664766,122.76407997729413,1
Prophet,46.46037539569414,83.60865204429088,9884790.619195597,146.46242071968453,1
XGBoost-lag8,46.08975047094282,83.33564808731462,27042527.199264087,126.13903890515626,1
LSTM,45.33681720252504,80.59444932389779,78901632.01132327,134.53380355904002,1
Naive,19.875,30.608413875926338,37500057.19471501,121.93637513959158,2
MA(4),19.875,30.608413875926338,37500057.19471501,121.93637513959158,2
"ARIMA(1,1,1)",20.93975145951515,31.54853594531603,19184377.207650233,150.12116617327683,2
"SARIMA(1,1,1)(1,0,1,52)",20.548413268898468,31.18768447182208,26091602.522797592,138.89540870695706,2
Prophet,21.80926480023843,32.27486148068005,4773646.461532047,184.40597587339954,2
XGBoost-lag8,22.081002160790376,32.484026284527054,12453262.26967174,187.2083798697961,2
LSTM,20.775769341088424,31.43652068355764,21647002.753565505,144.4727425580975,2
Naive,59.625,89.24194641534888,80.52077731517622,151.09271841508067,3
MA(4),58.6875,88.41167909275335,87.42174895914651,138.63557000161882,3
"ARIMA(1,1,1)",58.84712908163166,88.55767326140442,86.08259200263639,140.7421374698901,3
"SARIMA(1,1,1)(1,0,1,52)",58.823422096205746,88.53994191514154,86.14011785603046,140.3316296818125,3
Prophet,59.795281767863834,89.34473146235783,85.12608136991349,158.80310704008235,3
XGBoost-lag8,59.14647576957941,88.80253562157091,112.0859023106418,147.94261950260764,3
LSTM,58.420608604309955,87.43531997617329,79.003778189642,145.18252719401136,3
Naive,71.375,115.83123499298452,48.47340739458679,67.35015912272102,4
MA(4),81.625,125.72042395728707,56.190359834084305,89.76318275907538,4
"ARIMA(1,1,1)",78.54827591203858,123.67613183490758,51.28690331586295,81.07574862442033,4
"SARIMA(1,1,1)(1,0,1,52)",78.13842356079111,123.352850724571,50.78997631140984,80.06785649768634,4
Prophet,94.92104631213343,134.74828426166835,81.09897255683316,139.84038358019174,4
XGBoost-lag8,74.63464069366455,119.80069318002782,47.66084564531459,72.80950544436796,4
LSTM,76.99641394502338,122.08812597018634,50.047048884999455,77.76858157030003,4
Naive,21.75,33.25657829663178,75000055.04089811,113.73212539406272,5
MA(4),23.625,34.835326896700714,43750068.5655239,141.8738445803436,5
"ARIMA(1,1,1)",22.446476343880143,33.843486065758896,63065224.519015305,123.25623572572937,5
"SARIMA(1,1,1)(1,0,1,52)",22.27019939180846,33.83227837434588,59641314.4167474,121.07030836251849,5
Prophet,23.50547264182321,34.88999532913496,34300143.51940192,140.42963919350854,5
