topic_id,keywords,recent_mean,baseline_mean,momentum_pct,forecast_mean,forecast_pct,status,model
15,"like, fashion, link, thread, good, culture, picture, char, newspaper, arthistory, dress, album, answer, know, item",13.88,1.5,825.0,42.91,209.2,Rising,LSTM
10,"char, spring, fashion, summer, shoe, trend, short, new, denim, print, coachella, story, dress, season, jean",0.88,0.31,184.4,1.99,128.0,Rising,LSTM
1,"idea, perfect, design, feel, space, create, char, stylish, garden, beautifully, ideas, like, room, outdoor, color",2.88,1.15,149.2,6.22,116.2,Rising,LSTM
17,,4.5,0.85,431.8,9.11,102.5,Rising,LSTM
19,,1.62,0.46,252.1,3.0,84.5,Rising,LSTM
8,"fashion, dress, say, film, prada, red, paris, designer, new, black, year, like, devil, woman, chanel",0.38,0.08,387.5,0.67,78.1,Rising,LSTM
18,,3.25,0.54,503.6,5.45,67.8,Rising,LSTM
4,"say, fashion, people, like, trend, man, year, woman, time, new, see, bag, think, way, come",19.0,4.35,337.2,29.49,55.2,Rising,LSTM
0,"char, ootd, new, goth, game, april, photo, streetwear, nail, old, star, selfie, denim, netflix, gothic",16.75,2.85,488.5,24.78,48.0,Rising,LSTM
11,"art, darkacademia, music, char, day, olivia, vintage, year, new, rodrigo, commission, fashion, hat, culture, love",4.62,1.77,161.4,5.79,25.1,Rising,LSTM
7,"sale, char, size, chanel, price, brand, deal, new, free, gap, good, find, shipping, year, store",4.25,0.92,360.4,4.8,12.9,Stable,LSTM
13,"model, dress, fashion, vintage, sexy, nude, pin, year, nsfw, sparkle, day, porn, designer, say, coveti",1.12,0.35,225.0,1.21,7.6,Stable,LSTM
16,,0.25,0.27,-7.1,0.26,3.6,Stable,LSTM
3,"fashion, designer, brand, year, collection, design, week, catwalk, say, new, gucci, creative, director, luxury, dress",2.25,0.42,431.8,2.22,-1.4,Stable,LSTM
2,"fashion, gala, met, year, culture, westwood, designer, new, say, arts, char, week, time, australian, night",1.88,0.27,596.4,1.78,-5.0,Stable,LSTM
9,"fashion, say, brand, new, industry, company, year, week, vogue, designer, business, include, sustainable, fur, global",3.25,1.35,141.4,3.01,-7.4,Stable,LSTM
5,"thrifte, vintage, book, cottagecore, dark, char, academia, thrift, wall, art, find, floral, today, advertisements, cotta",5.12,2.62,96.0,4.37,-14.8,Stable,LSTM
6,"hair, skin, beauty, like, product, good, makeup, face, say, time, use, day, feel, dry, year",8.62,1.92,348.5,6.73,-22.0,Declining,LSTM
12,"say, fashion, clothe, work, brand, people, year, like, think, want, thing, new, clothing, sell, time",1.38,0.54,155.4,0.76,-44.8,Declining,LSTM
14,"dress, like, shirt, feel, jean, good, trouser, pair, work, shoe, think, day, way, want, jacket",0.75,0.96,-22.0,0.4,-46.4,Declining,LSTM
