term,recent_count,baseline_mean,baseline_std,z_score,spike_ratio,weeks_seen,first_seen
beach,17.0,1.0,0.0,16.0,8.5,3,2020-12-28
sun,9.0,1.0,0.0,8.0,4.5,6,2021-01-18
gay,19.0,2.0,1.41,7.04,6.33,2,2021-02-08
irish,8.0,1.0,0.0,7.0,4.0,2,2021-01-25
kor,9.0,2.0,0.0,7.0,3.0,1,2022-02-14
animal,13.0,1.75,0.96,5.75,4.73,4,2021-02-22
activist,10.0,1.5,0.71,4.98,4.0,2,2021-01-11
michael,11.0,2.0,1.0,4.5,3.67,3,2021-01-11
heel,11.0,2.0,1.07,4.35,3.67,8,2020-12-28
flat,9.0,1.56,0.73,4.31,3.52,9,2020-12-28
pressure,8.0,1.4,0.55,4.26,3.33,5,2020-12-28
party,18.0,3.64,2.62,3.97,3.88,11,2020-12-28
male,8.0,1.25,0.71,3.95,3.56,8,2021-02-01
fur,15.0,2.83,2.14,3.88,3.91,6,2021-01-04
kors,12.0,2.5,2.12,3.04,3.43,2,2021-01-11
