model,MAE,RMSE,MAPE,sMAPE,keyword
Naive,1.25,1.5811388300841898,7.831166457811195,7.556890913745752,cottagecore
MA(4),1.375,1.5811388300841898,8.336132150228513,8.305016983436797,cottagecore
"ARIMA(1,1,1)",1.3870186808176075,1.5882091710743977,8.391465840020665,8.37792995710782,cottagecore
"SARIMA(1,1,1)(1,0,1,52)",1.3251947501591839,1.6013509630213087,8.107282850062816,8.00906707807895,cottagecore
Prophet,1.1238330079782333,1.2547952932040898,6.888612385074722,6.8707869250632045,cottagecore
XGBoost-lag8,1.3384356498718262,1.5364638563458355,8.113531623667443,8.115704742020338,cottagecore
LSTM,1.1108923078692343,1.4211323863582248,6.960955839692136,6.736782082122428,cottagecore
Naive,3.0,3.605551275463989,6.051218137256447,5.790188021123713,quiet luxury
MA(4),2.125,2.358495283014151,4.140824531106331,4.20310954886275,quiet luxury
"ARIMA(1,1,1)",2.6520224755391535,3.3215452447979423,5.367810315641982,5.144440663641304,quiet luxury
"SARIMA(1,1,1)(1,0,1,52)",2.5026712936636013,3.203578328975603,5.074367366018688,4.865708771433998,quiet luxury
Prophet,19.85891200283585,20.00036972364796,38.82192131166365,48.27979812734362,quiet luxury
XGBoost-lag8,9.85798168182373,10.661408684417742,19.165679877264193,21.57359679209764,quiet luxury
LSTM,5.4734645594122835,7.444637068861854,10.58159641753115,11.510924777603257,quiet luxury
Naive,3.875,4.7302219821061255,20.384120163910513,17.56229158548478,y2k fashion
MA(4),2.875,3.605551275463989,15.181906287409214,13.506498696114825,y2k fashion
"ARIMA(1,1,1)",3.250104488475536,3.9495299217180078,17.050899435823936,15.062847878305629,y2k fashion
"SARIMA(1,1,1)(1,0,1,52)",3.2062029455674574,3.9116792325338237,16.835047677118663,14.878562798264937,y2k fashion
Prophet,2.7062001038417858,3.3967875806020653,11.919876635901561,12.96331046656378,y2k fashion
XGBoost-lag8,2.701681137084961,2.981544347763944,13.21399943371439,12.83317029773407,y2k fashion
LSTM,2.31022011083718,2.682684657966647,11.637409109946093,11.019754803302153,y2k fashion
