model,MAE,RMSE,MAPE,sMAPE,topic_id
Naive,10.375,11.152354011597732,100.0,200.0,0
MA(4),6.1875,7.365459931328117,51.39751307720057,74.53014377053435,0
"ARIMA(1,1,1)",8.171926322504017,9.138490252369229,73.99636417851359,120.59096495135971,0
"SARIMA(1,1,1)(1,0,1,52)",7.406505953743581,8.478324565031318,64.91933814658637,100.65661403369575,0
Prophet,10.830066574167326,11.527788698715733,105.96820196682897,200.0,0
XGBoost-lag8,8.45336451381445,9.597425242624407,74.54127727126135,126.36508545049907,0
LSTM,8.678823370730832,9.657973995441747,79.59832918805606,134.9260871695573,0
Naive,2.375,3.3354160160315836,75.0,150.0,1
MA(4),1.875,2.715695122800054,25000035.29761905,106.25,1
"ARIMA(1,1,1)",1.9926051705383485,2.8481323966778604,19438297.027129725,120.56594151922344,1
"SARIMA(1,1,1)(1,0,1,52)",2.0292353566023507,2.8958837714009547,17617483.04569509,125.48801940439283,1
Prophet,2.4595172324839565,3.426661647873171,3560204.2769132634,192.89052983580945,1
XGBoost-lag8,2.5678300820291042,3.151318975183559,30065273.3876513,155.92690654400698,1
LSTM,1.8685220122594626,2.4406037105575464,9449611.299594741,155.20799692636578,1
Naive,0.375,0.7905694150420949,25.0,50.0,2
MA(4),0.375,0.7905694150420949,25.0,50.0,2
"ARIMA(1,1,1)",0.4620155512022559,0.7239831353376222,13079008.849398926,188.52462390915247,2
"SARIMA(1,1,1)(1,0,1,52)",0.4714089673197073,0.7297407055732921,13818088.173526343,188.9866142340149,2
Prophet,0.505643615907571,0.8734750365813615,9039767.14365641,200.0,2
XGBoost-lag8,0.45500747102778405,0.7246089100928372,12657882.162036747,187.88810430866602,2
LSTM,0.4608668957891698,0.777690100772003,11005910.691157222,168.13896516008762,2
Naive,1.875,2.4748737341529163,62.5,125.0,3
MA(4),1.75,2.1213203435596424,18750051.041666664,161.74603174603175,3
"ARIMA(1,1,1)",1.8499513961168532,2.402065241600395,3569991.0449648965,191.42202046888258,3
"SARIMA(1,1,1)(1,0,1,52)",1.8513885851277123,2.4047539464715237,3485594.387934053,191.73585014664215,3
Prophet,1.880443884210408,2.441904660070411,3078313.298929968,194.87195713618118,3
XGBoost-lag8,1.8623421481461264,2.413422917103256,2996705.126255276,195.2694465976639,3
LSTM,1.8878637374419194,2.4436611919656315,4102193.7641158,171.1053888484586,3
Naive,9.5,11.247221879201993,62.40942028985508,96.08281581965792,4
MA(4),8.75,10.621322893124,55.361186594202906,83.01975742287718,4
"ARIMA(1,1,1)",10.971584588328458,12.527584408473505,76.02873857376932,125.98277500923207,4
"SARIMA(1,1,1)(1,0,1,52)",11.204946300088949,12.738778076861557,78.15777986795067,131.31061691325314,4
Prophet,10.5284265539176,12.15403409527082,71.9732453191065,116.36840719310513,4
XGBoost-lag8,10.81299139559269,12.361559782803992,74.928502007815,124.49919140257599,4
LSTM,10.99586989718147,12.53388874354118,76.18005979861313,127.39431183246744,4
Naive,3.5,3.968626966596886,95.0,55.18939393939394,5
MA(4),5.375,6.2048368229954285,76.04166666666666,98.76594669698117,5
"ARIMA(1,1,1)",6.239743389309332,7.185586673774192,74.95429941959473,124.55334107234404,5
"SARIMA(1,1,1)(1,0,1,52)",6.199472532886487,7.120909042543564,74.75279172889906,124.05672899726193,5
Prophet,6.063201330843853,7.080212183881763,78.97738970331494,119.01135575946802,5
XGBoost-lag8,6.485935917124152,7.726505145503081,79.59941712363312,131.96592643763032,5
LSTM,4.415541041146844,5.88352890117164,51.88449872786126,80.85614795017224,5
Naive,6.5,8.200609733428363,12500072.018445197,149.76190476190476,6
MA(4),5.5625,7.292976072907411,28125052.666501693,107.42880098296554,6
"ARIMA(1,1,1)",6.1259343335261445,7.82594607419477,18760243.839570332,130.92712576985627,6
"SARIMA(1,1,1)(1,0,1,52)",6.14046743714137,7.832791530470108,18098301.07739928,132.0456310037554,6
Prophet,7.214211074855563,8.800893306134464,3686066.206452045,193.37155194071727,6
XGBoost-lag8,6.541557030752301,8.458809775683314,7632911.388179424,161.06729093849466,6
LSTM,6.710682264258082,8.49048821435179,8550369.855458185,160.0488330961548,6
Naive,1.625,2.5248762345905194,40.922619047619044,62.916666666666664,7
MA(4),1.5,2.23606797749979,48.88392857142857,58.01629742806214,7
"ARIMA(1,1,1)",1.7757647791581537,2.623307447614888,49.90512666415029,76.15814352932324,7
"SARIMA(1,1,1)(1,0,1,52)",2.0303934100618335,2.8013558892136525,65.00960572627392,102.61757698987952,7
Prophet,2.995111407587547,3.602778272571215,120.06883027482287,200.0,7
XGBoost-lag8,2.212110409513116,2.9944446155856803,76.16662047581659,104.75990306876706,7
