model,MAE,RMSE,MAPE,sMAPE,keyword
Naive,2.125,2.207940216581962,11.627106983144134,12.39623121976063,cottagecore
MA(4),1.625,1.7320508075688772,8.865454076367389,9.32904369761724,cottagecore
"ARIMA(1,1,1)",1.6310135928836549,1.7391009207236947,8.897949140389919,9.365373863729577,cottagecore
"SARIMA(1,1,1)(1,0,1,52)",1.6671380150964885,1.7622817498974153,9.108727665598249,9.591235890623611,cottagecore
Prophet,2.1832792132627175,2.3837818230860672,12.193646822609553,11.368555458837104,cottagecore
XGBoost-lag8,0.87603759765625,0.9560410976048116,4.78464418315461,4.914332000615354,cottagecore
LSTM,1.8481575110477322,1.942672715467629,10.0985770019108,10.687403002982302,cottagecore
Naive,1.5,2.958039891549808,6.489342700643011,7.251205409100146,quiet luxury
MA(4),3.0,4.02336923485777,14.253042225662194,15.979191101242552,quiet luxury
"ARIMA(1,1,1)",2.0751400395707615,3.3491897395774104,9.412982165401203,10.493799543778737,quiet luxury
"SARIMA(1,1,1)(1,0,1,52)",2.0002661432833775,3.2740869321258836,9.037897794157903,10.066689812344057,quiet luxury
Prophet,2.7111654960253864,3.3694710755222945,13.474488198117635,13.458572254878575,quiet luxury
XGBoost-lag8,2.667474865913391,3.7303549636001003,12.585838053516744,14.044465251171346,quiet luxury
LSTM,1.7547920017437146,2.9061603798645637,7.951476453201936,8.713892509379612,quiet luxury
Naive,1.5,2.345207879911715,7.3920003607503615,8.022854338643812,y2k fashion
MA(4),1.5,2.0,7.826823911382736,8.036522301228183,y2k fashion
"ARIMA(1,1,1)",1.5684514498316688,1.8106234938340777,8.443340910017211,8.41572738172543,y2k fashion
"SARIMA(1,1,1)(1,0,1,52)",1.3031894428843187,1.6753281678523648,6.790833722486117,6.887145884600505,y2k fashion
Prophet,2.283748633119342,2.723236494655446,13.069433327619512,11.95940745820295,y2k fashion
XGBoost-lag8,1.3827366828918457,1.775485701297274,7.230905637900157,7.378358165774931,y2k fashion
LSTM,2.359749312094256,2.8055079175828492,12.902345953575074,11.859785906172132,y2k fashion
