model,MAE,RMSE,MAPE,sMAPE,topic_id
Naive,1.5,1.6583123951777,125000016.66666666,138.33333333333334,0
MA(4),1.125,1.1989578808281798,78125015.10416666,143.84112619406736,0
"ARIMA(1,1,1)",0.9996351429354576,1.11782561113437,61834189.27262798,146.39040643455232,0
"SARIMA(1,1,1)(1,0,1,52)",1.004467415553902,1.1156975603021437,63638842.06405195,145.32954509075205,0
Prophet,1.3728521244934115,1.7959739692001673,35108101.38562429,200.0,0
XGBoost-lag8,1.0152667611837387,1.1571727294981233,62858257.76390086,146.84289118352348,0
LSTM,1.0385912655081193,1.1419923204695672,67194010.13047937,145.2735310208585,0
Naive,0.25,0.7071067811865476,12.5,25.0,1
MA(4),0.25,0.7071067811865476,12.5,25.0,1
"ARIMA(1,1,1)",0.3749651215508829,0.6656576637824512,14620896.660483561,196.08401443548792,1
"SARIMA(1,1,1)(1,0,1,52)",0.4366929906403746,0.6738960309701197,21245334.647741534,195.32923176852427,1
Prophet,0.5821908019045463,0.8382431114080787,31900848.41950668,200.0,1
XGBoost-lag8,0.47289329022169113,0.6631191412880553,26004227.835086547,193.5314249731331,1
LSTM,0.4677170946688192,0.6583845242750068,26288000.554753352,192.34950895478067,1
Naive,0.375,0.6123724356957945,37.5,75.0,2
MA(4),0.375,0.6123724356957945,37.5,75.0,2
"ARIMA(1,1,1)",0.41393601707117145,0.531083741435226,9762998.942588238,179.69984508149867,2
"SARIMA(1,1,1)(1,0,1,52)",0.41084622091596984,0.5274900374274546,9738519.015694523,178.97636349078442,2
Prophet,0.4283758638725149,0.6187518872648905,5465386.7122994205,193.54883920017105,2
XGBoost-lag8,0.41806213185191154,0.5248648965575503,10765564.003658108,177.95921384667085,2
LSTM,0.4045816489942434,0.5315567620981635,8620886.796105435,180.38241130143965,2
Naive,0.0,0.0,0.0,0.0,3
MA(4),0.5,0.5,50000000.0,200.0,3
"ARIMA(1,1,1)",0.08542065961016093,0.08549294225903122,8542065.961016092,200.0,3
"SARIMA(1,1,1)(1,0,1,52)",0.08275519136831097,0.08622877316079178,8275519.136831097,200.0,3
Prophet,0.1499388895927774,0.17082010511200083,14993888.959277738,200.0,3
XGBoost-lag8,0.15177397859588382,0.35113842390838096,15177397.85958838,200.0,3
LSTM,0.15502356324601296,0.386615858456438,15502356.324601298,125.0,3
Naive,0.75,1.0,37500014.58333333,95.83333333333333,4
MA(4),0.875,1.0307764064044151,46875021.35416667,99.39668174962293,4
"ARIMA(1,1,1)",1.3753725364925302,1.5370130711772014,81277581.03290164,107.6678154131454,4
"SARIMA(1,1,1)(1,0,1,52)",1.380353504446287,1.5358038675233054,81093552.75168236,107.97809949738995,4
