model,MAE,RMSE,MAPE,sMAPE,keyword
Naive,0.875,1.0606601717798212,5.658263305322129,5.5522971652003905,cottagecore
MA(4),1.0,1.224744871391589,6.6163340336134455,6.31876646312663,cottagecore
"ARIMA(1,1,1)",1.0199610014114366,1.2729071695135594,6.773693563326301,6.4386271327151245,cottagecore
"SARIMA(1,1,1)(1,0,1,52)",0.8887661634057475,1.069504304223255,5.720204684863937,5.636589343734119,cottagecore
Prophet,2.2994897857963488,2.4963070422023343,14.18322485035982,15.35364920232755,cottagecore
XGBoost-lag8,2.0101685523986816,2.179441353427313,13.045501451866299,12.088876146276938,cottagecore
LSTM,1.2844901781774598,1.7246724593494906,8.620392113809837,7.982587530543293,cottagecore
Naive,12.0,12.757350822173073,23.838022922844353,27.447495683472106,quiet luxury
MA(4),10.5,11.357816691600547,20.750375203500205,23.54651402374155,quiet luxury
"ARIMA(1,1,1)",11.736309696469078,12.508576866379634,23.2958824782954,26.751943806038657,quiet luxury
"SARIMA(1,1,1)(1,0,1,52)",11.92138151342779,12.722119399532463,23.651772025840533,27.239279269207923,quiet luxury
Prophet,22.161227937984684,22.616390538968666,44.72088823034438,57.96447185688378,quiet luxury
XGBoost-lag8,23.69003701210022,24.073926898221316,47.935224821871955,63.34902405474663,quiet luxury
LSTM,18.351571470647823,19.710777093988096,36.40836902362386,45.89680878884147,quiet luxury
Naive,1.625,2.207940216581962,7.94562172695165,7.6044904570386995,y2k fashion
MA(4),2.125,2.8939592256975564,10.743049789085596,9.659779527433365,y2k fashion
"ARIMA(1,1,1)",1.500886203192651,2.2910731474216885,7.600874507151387,7.039415251872988,y2k fashion
"SARIMA(1,1,1)(1,0,1,52)",1.532599300680587,2.3383702309733887,7.863043407842149,7.159680540213011,y2k fashion
Prophet,3.267394528303445,3.546489279320619,14.336495790321441,15.556790816536886,y2k fashion
XGBoost-lag8,2.351828098297119,2.7831560879454518,11.386252151270101,10.781023012881295,y2k fashion
LSTM,1.3967756255816735,1.9426489844567691,6.929524247356884,6.512462066718838,y2k fashion
