term,recent_count,baseline_mean,baseline_std,z_score,spike_ratio,weeks_seen,first_seen
puffer,22.0,1.0,0.0,21.0,11.0,2,2020-12-28
tattoo,21.0,1.0,0.0,20.0,10.5,1,2021-01-04
jess,11.0,1.0,0.0,10.0,5.5,8,2020-12-28
ruby,11.0,1.0,0.0,10.0,5.5,1,2021-01-25
devil,10.0,1.0,0.0,9.0,5.0,3,2021-03-22
removal,8.0,1.0,0.0,7.0,4.0,2,2021-01-18
vaughn,10.0,3.0,0.0,7.0,2.5,1,2024-01-22
armstrong,10.0,4.0,0.0,6.0,2.0,1,2021-10-25
oxford,10.0,1.75,0.96,4.21,3.64,4,2021-03-01
italy,12.0,2.0,1.41,4.14,4.0,2,2021-02-22
mystery,16.0,5.0,1.73,4.03,2.67,3,2021-01-25
jean,22.0,5.5,4.12,3.22,3.38,12,2020-12-28
free,9.0,2.0,1.22,3.15,3.0,9,2020-12-28
