model,MAE,RMSE,MAPE,sMAPE,topic_id
Naive,1.0,1.3228756555322954,62.5,125.0,0
MA(4),0.8125,0.9013878188659973,28125029.6875,116.23376623376625,0
"ARIMA(1,1,1)",0.7837227376633563,0.8778600975354695,32750284.879571438,107.98982374141832,0
"SARIMA(1,1,1)(1,0,1,52)",0.7753506492412723,0.8780427029612791,32860218.023606047,107.02140858727765,0
Prophet,1.4039087486265005,1.5524709879854972,26837303.138033003,180.42579139452727,0
XGBoost-lag8,1.1846853345632553,1.2984035795157507,47828634.19581056,119.2118993702551,0
LSTM,0.7401511456251451,0.8484236458518776,38249012.72382068,98.64786808355592,0
Naive,0.625,1.1726039399558574,37.5,75.0,1
MA(4),0.625,1.1726039399558574,37.5,75.0,1
"ARIMA(1,1,1)",0.668897412135529,1.0844743953443365,11368148.250651896,181.3902945710093,1
"SARIMA(1,1,1)(1,0,1,52)",0.6722791485407775,1.0625173707936761,13670081.630050734,177.05326150674523,1
Prophet,0.7993922089860273,1.1852820672173323,20011314.40363265,181.9410321270644,1
XGBoost-lag8,0.6807086663320661,1.0464646505198092,16571632.752423113,172.8646992655504,1
LSTM,0.5506771568033481,0.9267739109511379,9828156.888491476,139.7165480043964,1
Naive,0.125,0.3535533905932738,12.5,25.0,2
MA(4),0.3125,0.3535533905932738,21875009.375,190.0,2
"ARIMA(1,1,1)",0.24705473916308565,0.33276611123334654,14244681.05124067,192.98724434425822,2
"SARIMA(1,1,1)(1,0,1,52)",0.2591353944067165,0.34607071517244514,15213779.53852294,193.70559258887724,2
Prophet,0.1800477967756459,0.40444133068911164,3851770.1430364205,200.0,2
XGBoost-lag8,0.19752001482993364,0.25458055755759346,12332416.387951747,185.55093933518077,2
LSTM,0.20584102359722825,0.3746299626226281,9037354.02293047,121.45720990558124,2
Naive,0.125,0.3535533905932738,12.5,25.0,3
MA(4),0.125,0.3535533905932738,12.5,25.0,3
"ARIMA(1,1,1)",0.18583200026749236,0.3330046736391934,7122226.037992234,196.162887090487,3
"SARIMA(1,1,1)(1,0,1,52)",0.1746765954872621,0.3355477592460711,5809442.788877936,196.84535304492914,3
Prophet,0.2668105424733222,0.43005852289901164,12261743.884258436,200.0,3
XGBoost-lag8,0.17933687195181847,0.33486801954081313,6339313.322097622,196.62225655402545,3
LSTM,0.22969037883500892,0.359319633490111,11102938.879747596,197.586818634393,3
Naive,1.25,1.5,25000061.666666668,74.04761904761904,4
MA(4),1.0,1.6583123951777,12500024.583333334,62.5,4
"ARIMA(1,1,1)",1.2196246846858103,1.4846111423524337,23477394.161578033,73.39673530772873,4
"SARIMA(1,1,1)(1,0,1,52)",1.3032764644082326,1.5197226875076921,26344980.462899223,75.79742607373294,4
Prophet,1.3262713012271212,1.4291918276970088,22900012.386330172,79.02776753645931,4
XGBoost-lag8,1.5924194902181625,2.017367347965423,22666492.901543677,82.81812943135871,4
LSTM,1.6698227734859592,1.9371292944683918,40063854.38003756,81.90179731681887,4
Naive,1.0,1.3228756555322954,62.5,125.0,5
MA(4),0.875,1.0,18750040.625,136.66666666666666,5
