model,MAE,RMSE,MAPE,sMAPE,keyword
Naive,1.875,2.091650066335189,8.943001443001442,9.371207511451415,cottagecore
MA(4),2.375,2.850438562747845,11.103896103896105,12.054655870445345,cottagecore
"ARIMA(1,1,1)",2.1847125626960677,2.54410454215473,10.279847375636233,11.018033798286847,cottagecore
"SARIMA(1,1,1)(1,0,1,52)",1.985141353543765,2.2894949653461736,9.363304948411578,9.949772334624393,cottagecore
Prophet,3.388439170395428,3.7421710838808577,16.29375352518361,18.049809206961925,cottagecore
XGBoost-lag8,2.7444989681243896,2.9893604545786348,13.123409099565094,14.19870301479581,cottagecore
LSTM,2.1195735831261877,2.4179487955343286,10.02435572413571,10.66812379944156,cottagecore
Naive,21.875,22.822686082054407,44.727345649924345,58.16649595738767,quiet luxury
MA(4),27.625,28.38133189263675,56.95110574657569,80.05440609004599,quiet luxury
"ARIMA(1,1,1)",24.138510394932652,24.996594599075774,49.542384061623956,66.36121461920965,quiet luxury
"SARIMA(1,1,1)(1,0,1,52)",24.234412593461634,25.078579888021718,49.759312476532344,66.72760477505086,quiet luxury
Prophet,29.55727242244572,30.24783779253742,61.097504155131375,88.3191365820214,quiet luxury
XGBoost-lag8,22.672970294952393,23.837704119614582,46.25954285974665,61.184486131160455,quiet luxury
LSTM,26.600606729697244,27.356803453656315,54.808902352154966,75.91170106210117,quiet luxury
Naive,5.625,5.667892024377317,20.31221492428389,22.63545418167267,y2k fashion
MA(4),7.875,7.905694150420948,28.462102034300308,33.20972631721015,y2k fashion
"ARIMA(1,1,1)",7.49953888288611,7.554362947096233,27.09592584743691,31.399079875430992,y2k fashion
"SARIMA(1,1,1)(1,0,1,52)",6.482523950592893,6.578502592268511,23.4222128139664,26.626628818211806,y2k fashion
Prophet,4.337955756691212,4.536450154944067,15.660777898015285,17.123702091367687,y2k fashion
XGBoost-lag8,7.026282548904419,7.134986856342906,25.3852702583455,29.20389823059865,y2k fashion
LSTM,7.744590360899831,8.363606377440817,28.00653892604868,33.597060737100755,y2k fashion
