term,recent_count,baseline_mean,baseline_std,z_score,spike_ratio,weeks_seen,first_seen
flat,14.0,1.78,0.67,7.33,5.04,9,2020-12-28
eagle,8.0,1.0,0.0,7.0,4.0,1,2022-04-04
winter,8.0,1.0,0.0,7.0,4.0,5,2020-12-28
heel,13.0,1.67,0.82,6.24,4.87,6,2020-12-28
coat,17.0,2.0,1.83,5.31,5.67,10,2020-12-28
sweeney,10.0,1.5,0.71,4.98,4.0,2,2021-08-16
print,11.0,2.0,1.15,4.18,3.67,7,2020-12-28
campaign,10.0,1.78,1.09,3.93,3.6,9,2020-12-28
lipstick,10.0,2.0,1.41,3.31,3.33,4,2020-12-28
jean,11.0,3.0,1.56,3.12,2.75,10,2020-12-28
