keyword,recent_mean,baseline_mean,momentum_pct,forecast_mean,forecast_pct,status,model
y2k fashion,20.38,21.23,-4.0,27.17,33.3,Rising,LSTM
cottagecore,18.62,21.15,-12.0,18.76,0.8,Stable,LSTM
quiet luxury,17.38,17.54,-0.9,17.4,0.1,Stable,LSTM
