model,MAE,RMSE,MAPE,sMAPE,keyword
Naive,1.0,1.224744871391589,5.988777089783282,5.759709289121054,cottagecore
MA(4),1.75,2.0,10.488153594771244,9.803732303732303,cottagecore
"ARIMA(1,1,1)",1.4465530403162785,1.6580406137832981,8.668139041784226,8.195132517651185,cottagecore
"SARIMA(1,1,1)(1,0,1,52)",1.1816479669910427,1.3945720502286358,7.085434902874346,6.7590835391345525,cottagecore
Prophet,3.935416712459167,4.0379855909562945,23.131177151829984,20.592741764765734,cottagecore
XGBoost-lag8,1.638364553451538,1.9011624706772954,9.823800052897726,9.20353399882144,cottagecore
LSTM,1.565683331563768,1.7808194448703196,9.377754589890214,8.830869740396178,cottagecore
Naive,1.25,1.3228756555322954,7.322733918128654,7.323683261183262,quiet luxury
MA(4),1.375,1.5,7.84265350877193,8.068096426945171,quiet luxury
"ARIMA(1,1,1)",1.3236912043382736,1.4052794719756743,7.636753288511154,7.760319241420607,quiet luxury
"SARIMA(1,1,1)(1,0,1,52)",1.2750256343715973,1.3393223325608072,7.437875260707318,7.471290454796256,quiet luxury
Prophet,5.059247461035612,5.282291230306634,30.132099702971676,25.782618832393755,quiet luxury
XGBoost-lag8,1.004408836364746,1.1487436734361627,5.88121981997239,5.869186319915793,quiet luxury
LSTM,0.972586278193575,1.1256688872499747,5.86647108427511,5.73372478727834,quiet luxury
Naive,2.25,2.3979157616563596,12.917096663226696,12.021738337527811,y2k fashion
MA(4),3.0,3.112474899497183,17.151487788097697,15.683419792846498,y2k fashion
"ARIMA(1,1,1)",2.3949999731222573,2.5447204196498365,13.743650654520915,12.74037904008814,y2k fashion
"SARIMA(1,1,1)(1,0,1,52)",2.181345627341344,2.310589069039039,12.50925314143565,11.677167130133892,y2k fashion
Prophet,1.5710239470108132,1.8934951309343167,9.061046813135812,8.49944931008314,y2k fashion
XGBoost-lag8,3.9136531352996826,3.9957580013502527,22.29611893720466,19.950326920109813,y2k fashion
LSTM,9.418761932143811,9.832502228937788,53.7320589317124,41.55262966248265,y2k fashion
