model,MAE,RMSE,MAPE,sMAPE,keyword
Naive,4.5,4.663689526544408,26.311274509803923,22.995469442837862,cottagecore
MA(4),4.0,4.183300132670378,23.440563725490193,20.726673255573665,cottagecore
"ARIMA(1,1,1)",3.795414029381494,3.985582088439603,22.262914742571958,19.781652540764522,cottagecore
"SARIMA(1,1,1)(1,0,1,52)",3.7305713466375456,3.8885977453357072,21.840572808555386,19.47997590033258,cottagecore
Prophet,2.3509335541415926,2.7193834422505154,13.630685003506372,15.051465347126133,cottagecore
XGBoost-lag8,3.9760982990264893,4.156350493703043,23.287094118548374,20.606232772239103,cottagecore
LSTM,4.453362647413004,4.674792228753952,26.118065617641818,22.7742515704388,cottagecore
Naive,12.5,12.639224659764539,31.931966938086887,27.416081841387275,quiet luxury
MA(4),13.75,13.876689086377917,35.103408451021664,29.74171527272626,quiet luxury
"ARIMA(1,1,1)",12.272203483183471,12.41303281444192,31.353275358581023,26.985469874913846,quiet luxury
"SARIMA(1,1,1)(1,0,1,52)",12.226637674193086,12.383543222763322,31.249327000654276,26.897581482712724,quiet luxury
Prophet,16.100677824856227,16.15376087843102,40.72200443674473,51.17223408880226,quiet luxury
XGBoost-lag8,13.667836666107178,13.823958212810396,34.90865786597509,29.583477025772016,quiet luxury
LSTM,4.955238780009043,5.744404869021434,12.434527013460842,11.480792457212166,quiet luxury
Naive,3.5,4.092676385936225,14.579748954748956,13.177964965890663,y2k fashion
MA(4),2.5,3.278719262151,10.628723128723127,9.686868686868687,y2k fashion
"ARIMA(1,1,1)",1.6887301203983003,1.8649394827869217,6.6755626619571515,6.79773327459211,y2k fashion
"SARIMA(1,1,1)(1,0,1,52)",1.8861625298630909,2.586142156674674,8.06413217014316,7.463108499662299,y2k fashion
Prophet,2.6300562293996728,3.012882425840205,10.31370690210705,10.910880877505402,y2k fashion
XGBoost-lag8,2.134239912033081,2.643708102605507,8.630517309609239,8.111308069380904,y2k fashion
LSTM,2.403078080295391,3.03065211531615,10.052690715286255,9.269722087014994,y2k fashion
