topic_id,keywords,recent_mean,baseline_mean,momentum_pct,forecast_mean,forecast_pct,status,model
12,"say, fashion, clothe, work, brand, people, year, like, think, want, thing, new, clothing, sell, time",0.12,0.38,-67.5,0.54,333.5,Rising,LSTM
7,"sale, char, size, chanel, price, brand, deal, new, free, gap, good, find, shipping, year, store",0.12,0.5,-75.0,0.52,314.8,Rising,LSTM
5,"thrifte, vintage, book, cottagecore, dark, char, academia, thrift, wall, art, find, floral, today, advertisements, cotta",0.5,1.19,-58.1,1.42,183.4,Rising,LSTM
17,,0.5,0.73,-31.6,0.95,89.3,Rising,LSTM
4,"say, fashion, people, like, trend, man, year, woman, time, new, see, bag, think, way, come",1.12,1.92,-41.5,2.07,83.7,Rising,LSTM
15,"like, fashion, link, thread, good, culture, picture, char, newspaper, arthistory, dress, album, answer, know, item",0.12,0.08,62.5,0.23,81.6,Rising,LSTM
1,"idea, perfect, design, feel, space, create, char, stylish, garden, beautifully, ideas, like, room, outdoor, color",0.12,0.23,-45.8,0.23,80.3,Rising,LSTM
9,"fashion, say, brand, new, industry, company, year, week, vogue, designer, business, include, sustainable, fur, global",0.5,0.69,-27.8,0.9,79.9,Rising,LSTM
10,"char, spring, fashion, summer, shoe, trend, short, new, denim, print, coachella, story, dress, season, jean",0.12,0.04,225.0,0.19,54.8,Rising,LSTM
6,"hair, skin, beauty, like, product, good, makeup, face, say, time, use, day, feel, dry, year",0.5,0.96,-48.0,0.73,46.7,Rising,LSTM
0,"char, ootd, new, goth, game, april, photo, streetwear, nail, old, star, selfie, denim, netflix, gothic",0.88,0.73,19.7,0.91,4.6,Stable,LSTM
16,,0.25,0.12,116.7,0.25,1.3,Stable,LSTM
11,"art, darkacademia, music, char, day, olivia, vintage, year, new, rodrigo, commission, fashion, hat, culture, love",1.12,1.08,4.5,1.13,0.3,Stable,LSTM
2,"fashion, gala, met, year, culture, westwood, designer, new, say, arts, char, week, time, australian, night",0.12,0.12,8.3,0.11,-12.5,Stable,LSTM
18,,0.5,0.15,225.0,0.41,-17.1,Declining,LSTM
14,"dress, like, shirt, feel, jean, good, trouser, pair, work, shoe, think, day, way, want, jacket",0.62,0.42,47.7,0.41,-34.0,Declining,LSTM
19,,0.12,0.15,-18.8,0.06,-54.2,Declining,LSTM
13,"model, dress, fashion, vintage, sexy, nude, pin, year, nsfw, sparkle, day, porn, designer, say, coveti",0.38,0.23,62.5,0.08,-77.6,Declining,LSTM
3,"fashion, designer, brand, year, collection, design, week, catwalk, say, new, gucci, creative, director, luxury, dress",0.0,0.08,-100.0,0.1,,Declining,LSTM
8,"fashion, dress, say, film, prada, red, paris, designer, new, black, year, like, devil, woman, chanel",0.0,0.08,-100.0,0.07,,Declining,LSTM
