model,MAE,RMSE,MAPE,sMAPE,keyword
Naive,22.75,37.28940868396816,33.21765941272776,50.58989199792754,cottagecore
MA(4),24.5,38.674119253061214,38.99192257437208,59.06949791777696,cottagecore
"ARIMA(1,1,1)",23.879009438120523,38.2895117849504,36.567427239821384,55.80967021742338,cottagecore
"SARIMA(1,1,1)(1,0,1,52)",24.008029775568332,38.45502688059442,36.82416161729561,56.341237350729976,cottagecore
Prophet,23.952569452860406,38.75404637263524,35.95998293683147,55.46564734172984,cottagecore
XGBoost-lag8,24.03829538822174,38.138812604922734,37.549789576707525,57.038737560864185,cottagecore
LSTM,23.283338293137803,37.80458588897884,34.620282011045475,52.95921603884196,cottagecore
Naive,5.375,6.680194607943694,9.21736970613582,9.716949416087974,quiet luxury
MA(4),5.75,7.115124735378854,9.805580719989631,10.43880510211301,quiet luxury
"ARIMA(1,1,1)",5.3784794820737565,6.68396876461429,9.222835009840253,9.723604111372493,quiet luxury
"SARIMA(1,1,1)(1,0,1,52)",5.142801412507527,6.4445434191830495,8.839033085041756,9.274642688995844,quiet luxury
Prophet,21.305147482671607,22.18988791401035,37.56525186740468,46.759799167973426,quiet luxury
XGBoost-lag8,6.95967435836792,8.349286813096455,11.83242411624125,12.865823024693071,quiet luxury
LSTM,7.497473643145241,9.247283936531693,12.756199392897996,13.90882760587561,quiet luxury
Naive,26.0,38.399218742052554,42.667690975086614,62.521292256687545,y2k fashion
MA(4),24.4375,37.23657476191923,38.08055859181654,55.566823649040245,y2k fashion
"ARIMA(1,1,1)",23.581616792251886,36.376216964407796,36.018053549916004,52.21839426438895,y2k fashion
"SARIMA(1,1,1)(1,0,1,52)",25.39161129634999,38.095150116514965,40.54667257075282,59.568688061421994,y2k fashion
Prophet,24.795272446525527,37.335921876301924,39.31840746483663,57.340977637599636,y2k fashion
XGBoost-lag8,26.113805532455444,38.73822234376463,42.51480459237279,62.78272454421917,y2k fashion
LSTM,25.56991966349588,38.079358994364654,41.3332911126614,60.57825754128559,y2k fashion
