term,recent_count,baseline_mean,baseline_std,z_score,spike_ratio,weeks_seen,first_seen
quarter,25.0,1.0,0.0,24.0,12.5,3,2021-01-25
suit,38.0,3.64,2.06,11.22,8.2,11,2021-01-04
car,27.0,2.25,1.26,10.96,8.31,4,2020-12-28
fleece,10.0,1.0,0.0,9.0,5.0,1,2020-12-28
winter,17.0,2.86,0.69,8.37,4.41,7,2020-12-28
sciencefiction,16.0,2.0,0.71,8.2,5.33,5,2025-09-29
boot,27.0,3.1,2.18,7.51,6.59,10,2020-12-28
urban,14.0,2.5,0.58,7.29,4.0,4,2021-01-04
zip,17.0,1.67,1.15,7.12,6.37,3,2021-01-11
forthcoming,8.0,1.0,0.0,7.0,4.0,2,2021-01-25
genre,8.0,1.0,0.0,7.0,4.0,2,2021-03-01
eye,16.0,2.3,1.06,6.65,4.85,10,2021-01-04
greece,8.0,3.0,0.0,5.0,2.0,1,2021-06-14
element,10.0,1.38,0.74,4.95,4.21,8,2021-01-04
invite,8.0,1.2,0.45,4.7,3.64,5,2020-12-28
clear,9.0,1.91,0.54,4.61,3.09,11,2021-01-04
grand,8.0,1.25,0.5,4.5,3.56,4,2021-01-25
roughly,8.0,1.33,0.58,4.23,3.43,3,2021-02-08
forward,9.0,1.71,0.76,4.15,3.32,7,2020-12-28
alps,8.0,4.0,0.0,4.0,1.6,1,2023-10-09
majestically,8.0,4.0,0.0,4.0,1.6,1,2022-01-24
austrian,8.0,4.0,0.0,4.0,1.6,1,2021-06-21
alpine,8.0,4.0,0.0,4.0,1.6,1,2021-03-08
try,16.0,4.0,2.04,3.94,3.2,12,2020-12-28
wrap,8.0,1.5,0.76,3.7,3.2,8,2021-01-25
nike,9.0,1.71,1.11,3.45,3.32,7,2020-12-28
blend,9.0,1.71,1.25,3.23,3.32,7,2020-12-28
stand,14.0,3.56,2.35,3.12,3.07,9,2020-12-28
clothing,21.0,6.67,3.73,3.03,2.74,12,2020-12-28
bare,8.0,2.0,1.0,3.0,2.67,3,2020-12-28
