model,MAE,RMSE,MAPE,sMAPE,topic_id
Naive,7.5,8.48528137423857,55.06603057889823,53.97852020265813,0
MA(4),9.375,10.344080432788601,59.59647817460317,71.6015291085407,0
"ARIMA(1,1,1)",10.409170691395051,11.527078365815326,60.78188234817734,82.40059991299194,0
"SARIMA(1,1,1)(1,0,1,52)",9.83099444488058,10.960301588676964,57.80367308724978,75.99807251489183,0
Prophet,16.241027268395314,17.395077240111508,95.71405003624176,184.16278101308637,0
XGBoost-lag8,10.976306974887848,12.189164049348264,59.17353861244008,89.13897921406166,0
LSTM,8.75366416765388,9.82482705503423,54.17045826624551,65.38557141381189,0
Naive,2.875,3.181980515339464,62500138.020833336,86.62240537240537,1
MA(4),1.9375,2.3979157616563596,40625077.21354167,74.15093853633408,1
"ARIMA(1,1,1)",1.908090700713658,2.592328903408311,20269196.67277841,81.88208297978386,1
"SARIMA(1,1,1)(1,0,1,52)",1.9008714455830091,2.571227403082601,20792220.598553862,81.35835536752263,1
Prophet,2.4724237985831263,3.3200109083920424,3461243.9550084607,138.55875170052033,1
XGBoost-lag8,2.0004979968070984,3.0010353548116337,6680976.675815198,93.61257048643769,1
LSTM,2.0901927937004348,2.6716670134709783,87.0063473704292,85.79896839428474,1
Naive,1.875,2.4748737341529163,75.0,150.0,2
MA(4),1.875,2.4748737341529163,75.0,150.0,2
"ARIMA(1,1,1)",1.7882124411887697,2.346908108818097,4252306.38208294,174.22452958297865,2
"SARIMA(1,1,1)(1,0,1,52)",1.7982545283639193,2.3528056942777225,4691554.11269901,175.22991404828917,2
Prophet,1.806625234174512,2.3778890354620863,2236714.121232941,176.73354397470345,2
XGBoost-lag8,1.7832300662994385,2.3388912715582593,4588563.961058657,172.7538030903611,2
LSTM,1.8852424034619137,2.3984814300034683,10347363.322887719,182.8121535966056,2
Naive,1.25,1.5811388300841898,25000042.916666668,65.71428571428571,3
MA(4),1.375,1.7320508075688772,18750041.5625,75.30136530136531,3
"ARIMA(1,1,1)",1.5089838620383438,1.9904327551516192,13080960.336148055,86.48531133408504,3
"SARIMA(1,1,1)(1,0,1,52)",1.4993381659651641,1.9574321886674595,13879349.561230928,85.61376858063291,3
Prophet,2.108867200907424,2.578055091637084,3247500.6554729566,168.63526375929925,3
XGBoost-lag8,1.9474070183932781,2.2682021593917487,47913494.03124509,85.44746309222124,3
LSTM,1.7576400297031967,1.899673064147746,37253164.29614565,83.74216448130328,3
Naive,11.0,14.568802284333465,46.940052700922266,67.78592164740172,4
MA(4),8.5625,11.415450056830874,39.602375658761524,46.894145069460194,4
"ARIMA(1,1,1)",10.31907397998655,14.062371048268393,42.40247567865073,60.814640565555976,4
"SARIMA(1,1,1)(1,0,1,52)",10.197144714357941,13.978582824329932,41.5668788379328,59.59873613319131,4
Prophet,14.809007615439128,17.58235699700543,72.06051513203369,116.11629746415812,4
XGBoost-lag8,13.38529223203659,13.491995201770871,87.19579286726096,81.13093680381105,4
LSTM,10.635408754320016,14.294054421840128,44.45899417790909,64.00847413282555,4
Naive,6.875,7.607562027351469,382.5,91.06501341795459,5
MA(4),3.5625,4.513867521316947,236.09375,67.6790265641677,5
"ARIMA(1,1,1)",3.177194520404478,3.934353823093338,205.5000129174149,65.10192937709405,5
"SARIMA(1,1,1)(1,0,1,52)",3.7913616774038132,4.734711186600505,246.1932573590897,69.7008356376067,5
Prophet,3.2902706241557844,3.8854663252928754,84.55403549038569,78.14459169269594,5
XGBoost-lag8,6.79072642326355,7.5695185018687905,382.2728836536408,91.3770786923167,5
LSTM,7.486752720904614,8.397266357785114,419.141239182599,93.15848673030867,5
Naive,4.375,5.208166663999915,100000036.07430151,60.9467787114846,6
MA(4),5.25,6.461423991660043,59375039.74128915,79.88423704670237,6
"ARIMA(1,1,1)",5.926061449704797,7.219245073205111,42858004.25329411,96.3732400035905,6
"SARIMA(1,1,1)(1,0,1,52)",5.8066669313436226,7.130807646336643,42303300.94293485,93.78764905148083,6
