term,recent_count,baseline_mean,baseline_std,z_score,spike_ratio,weeks_seen,first_seen
rider,12.0,1.0,0.0,11.0,6.0,1,2022-01-24
vacation,10.0,1.0,0.0,9.0,5.0,1,2021-04-05
westwood,8.0,1.0,0.0,7.0,4.0,2,2020-12-28
store,18.0,4.43,1.81,4.83,3.32,7,2020-12-28
scent,33.0,6.0,5.29,4.29,4.71,3,2021-01-11
foundation,9.0,1.6,0.89,3.91,3.46,5,2020-12-28
zara,8.0,1.29,0.76,3.82,3.5,7,2021-01-04
bear,8.0,2.11,0.78,3.31,2.57,9,2020-12-28
