model,MAE,RMSE,MAPE,sMAPE,keyword
Naive,1.875,2.4238399287081647,8.974357685657996,9.628827786722525,cottagecore
MA(4),1.8125,2.2638462845343543,8.751779320181024,9.28847641312872,cottagecore
"ARIMA(1,1,1)",1.927805873920334,2.471393430636855,9.233011603080744,9.921339745791775,cottagecore
"SARIMA(1,1,1)(1,0,1,52)",1.601121314479946,2.0433896377057117,7.705888106679354,8.142676335803008,cottagecore
Prophet,2.403554348457144,2.77242667191475,11.963863038018555,12.578035878580604,cottagecore
XGBoost-lag8,1.9943151473999023,2.3971219491935747,9.779571220725764,10.266019542517741,cottagecore
LSTM,1.8339624495350293,2.3589120663445167,8.789785172716883,9.403380863786674,cottagecore
Naive,18.25,24.36698586202241,38.25161902581089,54.65003643483921,quiet luxury
MA(4),18.125,24.182896848806184,38.088447067836036,54.124803585044866,quiet luxury
"ARIMA(1,1,1)",18.128002161040506,24.18260390689982,38.10782241711293,54.14163649610637,quiet luxury
"SARIMA(1,1,1)(1,0,1,52)",18.043519955043116,24.126053981433486,37.80869158231355,53.726970958265404,quiet luxury
Prophet,18.55271342414107,24.539328368192116,39.59933793471954,56.149548442385836,quiet luxury
XGBoost-lag8,19.18580675125122,25.265211300861136,41.03382098311815,59.15513619236994,quiet luxury
LSTM,17.630894367262453,23.551922666165275,37.12056568118902,52.00531761709545,quiet luxury
Naive,7.625,8.65303414993839,30.06253006253006,36.693984580801484,y2k fashion
MA(4),6.875,8.0,26.784211159211157,32.28434557821688,y2k fashion
"ARIMA(1,1,1)",6.168375670048556,7.2279971425284675,23.965461617662633,28.338865361208754,y2k fashion
"SARIMA(1,1,1)(1,0,1,52)",5.071184130363246,5.852691228541861,19.905999285989118,22.69521467679429,y2k fashion
Prophet,3.121046190611562,3.450985086219692,13.329274948889378,13.423041360819244,y2k fashion
XGBoost-lag8,5.449202060699463,6.777021875215341,20.98172316762219,24.74371578761683,y2k fashion
LSTM,3.0805004623567505,3.9261493243365315,11.790512656625541,12.852609108213223,y2k fashion
