model,MAE,RMSE,MAPE,sMAPE,topic_id
Naive,1.625,2.7613402542968153,38.05555555555556,44.956709956709965,0
MA(4),2.0,3.0413812651491097,47.291666666666664,63.699633699633694,0
"ARIMA(1,1,1)",2.3870484657909117,3.382364002088562,57.033380120376506,87.55048285682139,0
"SARIMA(1,1,1)(1,0,1,52)",2.405500839122778,3.3934271179254147,57.82568672870948,89.0731921742209,0
Prophet,3.819677201389194,4.379712137767525,129.89850995810255,194.22913771516951,0
XGBoost-lag8,2.4208552464842796,3.3832193735026417,59.29601569970448,91.33931606858263,0
LSTM,2.3442802484430043,3.327050725086765,56.14670417738221,85.0787799384782,0
Naive,1.125,1.3693063937629153,37500028.125,114.99999999999999,1
MA(4),1.125,1.3228756555322954,46875025.78125,108.1807081807082,1
"ARIMA(1,1,1)",1.2671514655433307,1.632944031826729,14856711.203124577,155.25285841392719,1
"SARIMA(1,1,1)(1,0,1,52)",1.276045542872702,1.669484503570548,12149006.52807414,160.341273051113,1
Prophet,1.842088840864629,2.2480997066552337,16871192.19520578,200.0,1
XGBoost-lag8,1.3634955501183867,1.6602503103054602,22263013.66451797,157.04704051212298,1
LSTM,1.3387792661351257,1.719002534944204,24981256.673079472,156.60536673105742,1
Naive,0.625,1.0606601717798212,37.5,75.0,2
MA(4),0.625,1.0606601717798212,37.5,75.0,2
"ARIMA(1,1,1)",0.6655982673139484,0.9748994851767032,10080290.869129917,185.64080443120957,2
"SARIMA(1,1,1)(1,0,1,52)",0.6602045386696517,0.9805576561621271,9043801.435756749,186.7628525509169,2
Prophet,0.7474575534217398,1.1379907420177375,7471419.187339573,200.0,2
XGBoost-lag8,0.6770247993990779,0.9794141692636841,11219953.028485505,185.38926997712406,2
LSTM,0.7634711235913292,1.0557997580017122,17443932.850467853,189.47886386091574,2
Naive,0.5,0.8660254037844386,37.5,75.0,3
MA(4),0.5625,0.75,15625029.6875,174.44444444444446,3
"ARIMA(1,1,1)",0.5222366442162893,0.8214142056326993,5276573.701756166,190.58272673182628,3
"SARIMA(1,1,1)(1,0,1,52)",0.5174567623672032,0.8283324687196585,4297049.814129471,192.02849746176088,3
Prophet,0.5661286090836649,0.9094095590452528,4252491.412131,199.9552434666339,3
XGBoost-lag8,0.5140819755761186,0.8284297535201937,4004355.494818116,192.27402111538584,3
LSTM,0.5160365885160941,0.8378829748877875,4086184.32525181,166.95067671527437,3
Naive,2.0,2.23606797749979,51.607142857142854,46.73881673881674,4
MA(4),2.125,2.7950849718747373,39.64657738095237,49.71916691044414,4
"ARIMA(1,1,1)",2.5282070315282454,3.3335656246843763,43.36739264118217,63.36091187101742,4
"SARIMA(1,1,1)(1,0,1,52)",2.478890151979798,3.27761202058202,42.66294570908165,61.43570853740405,4
Prophet,2.0174548645228074,2.5725091617449944,38.3021780774666,47.080817530063335,4
XGBoost-lag8,3.024795077741146,3.6372945881255485,61.823899763680636,85.9010592966826,4
LSTM,2.61125557653697,3.3102270130610503,52.67338060183428,66.9395586347767,4
Naive,3.25,3.391164991562634,62500172.916666664,102.97619047619047,5
MA(4),0.875,1.0897247358851685,28125042.1875,55.78539107950873,5
"ARIMA(1,1,1)",1.0115346568780372,1.2223613731119678,12031327.059064416,76.68763366657238,5
"SARIMA(1,1,1)(1,0,1,52)",1.1201919514673568,1.337667787771709,8522023.42994332,91.85542981489763,5
Prophet,0.889166917332102,1.1159638510742593,19546263.33493969,67.31339743683901,5
XGBoost-lag8,1.3136929739266634,1.472849495838752,4645568.582583157,135.62618716800478,5
LSTM,1.1118669147140912,1.3880080567312347,1397875.229881106,129.09281116110503,5
Naive,1.5,1.9364916731037085,12500044.375,90.0,6
MA(4),1.125,1.5612494995995996,21875030.78125,60.304494217537695,6
"ARIMA(1,1,1)",1.5856791658635112,2.0122245217243604,11067901.757192375,98.53837104774779,6
"SARIMA(1,1,1)(1,0,1,52)",1.663884963974785,2.100723129063009,9240869.730254678,107.07729238307016,6
Prophet,2.8255694557464084,3.1801456787541302,10044000.845620146,200.0,6
