model,MAE,RMSE,MAPE,sMAPE,keyword
Naive,1.625,1.7677669529663689,10.128676470588236,9.541634835752483,cottagecore
MA(4),2.125,2.23606797749979,13.187806372549021,12.272075019879173,cottagecore
"ARIMA(1,1,1)",2.0843645537365907,2.1970343992981713,12.938830213442202,12.053101407620535,cottagecore
"SARIMA(1,1,1)(1,0,1,52)",1.21994902020344,1.3986095188495122,7.641805831905849,7.267339823905333,cottagecore
Prophet,3.0609394356331165,3.215386098391976,18.575095122411962,20.679458411500047,cottagecore
XGBoost-lag8,2.2443442344665527,2.3485168609662304,13.885808838348762,12.889682110132847,cottagecore
LSTM,2.100419467719532,2.239855152641139,13.052854751145155,12.131347195125759,cottagecore
Naive,4.625,6.642665127793212,9.838372025872026,10.852684316399642,quiet luxury
MA(4),4.0,5.338539126015656,8.748538201663202,9.241947750381676,quiet luxury
"ARIMA(1,1,1)",4.460779436420272,6.499736039819104,9.46320818089847,10.424989404086181,quiet luxury
"SARIMA(1,1,1)(1,0,1,52)",4.553407732198468,6.606145754253791,9.670556913578682,10.667123371594627,quiet luxury
Prophet,16.881514037718354,17.776413626454115,38.910085881329415,48.93366586272324,quiet luxury
XGBoost-lag8,16.54414439201355,17.16460942367677,38.38995345389493,47.83070649854633,quiet luxury
LSTM,14.705485681051197,16.76871898516915,33.16109931285583,41.61713662554863,quiet luxury
Naive,2.625,3.0618621784789726,11.709486166007906,10.841836734693878,y2k fashion
MA(4),3.625,3.952847075210474,16.006004864700518,14.59645745090489,y2k fashion
"ARIMA(1,1,1)",1.4532542618240285,1.7074284744413775,6.30880625646526,6.121684245416619,y2k fashion
"SARIMA(1,1,1)(1,0,1,52)",2.6762438893624787,3.0843999152186155,11.91548224592083,11.03544196456233,y2k fashion
Prophet,3.3450698551365137,3.5369610523635613,14.139981347807455,15.175453076101043,y2k fashion
XGBoost-lag8,3.0900654792785645,3.386761093227736,13.633827051880079,12.595425325433418,y2k fashion
LSTM,2.0031259737103073,2.4851970208751935,8.95342541100673,8.374413992734379,y2k fashion
