term,recent_count,baseline_mean,baseline_std,z_score,spike_ratio,weeks_seen,first_seen
costume,18.0,1.5,0.55,10.66,7.2,6,2021-01-04
certainty,11.0,1.0,0.0,10.0,5.5,1,2021-01-04
hair,42.0,3.7,3.23,9.05,8.94,10,2020-12-28
burton,8.0,1.0,0.0,7.0,4.0,4,2021-02-08
period,8.0,1.0,0.0,7.0,4.0,5,2021-01-04
piccioli,8.0,1.0,0.0,7.0,4.0,1,2020-12-28
dior,23.0,2.75,2.25,6.23,6.13,8,2020-12-28
mccartney,9.0,3.0,0.0,6.0,2.25,1,2021-01-04
politic,8.0,1.33,0.58,4.23,3.43,3,2021-01-11
bright,9.0,1.8,0.84,3.92,3.21,5,2020-12-28
turn,13.0,3.6,1.51,3.75,2.83,10,2020-12-28
anderson,13.0,2.4,1.95,3.59,3.82,5,2021-01-25
paris,22.0,4.57,4.08,3.43,3.95,7,2020-12-28
house,19.0,4.78,3.38,3.24,3.29,9,2020-12-28
