term,recent_count,baseline_mean,baseline_std,z_score,spike_ratio,weeks_seen,first_seen
bikini,19.0,1.0,0.0,18.0,9.5,1,2020-12-28
sponsor,20.0,1.25,0.5,12.5,8.89,4,2021-02-15
scottish,12.0,1.0,0.0,11.0,6.0,1,2021-01-04
emotion,12.0,1.0,0.0,11.0,6.0,2,2021-01-11
cringe,12.0,1.0,0.0,11.0,6.0,1,2022-05-02
word,17.0,1.5,0.76,8.83,6.8,8,2021-01-04
copenhagen,9.0,1.0,0.0,8.0,4.5,2,2021-05-31
academia,55.0,5.25,5.52,7.63,8.8,8,2021-02-08
consumption,8.0,1.0,0.0,7.0,4.0,2,2021-01-25
thee,8.0,1.0,0.0,7.0,4.0,1,2021-02-22
brooding,13.0,6.0,0.0,7.0,1.86,2,2021-03-22
sustain,8.0,1.0,0.0,7.0,4.0,3,2021-02-08
westminster,8.0,1.0,0.0,7.0,4.0,2,2021-01-11
rethink,8.0,1.0,0.0,7.0,4.0,1,2021-02-22
kenya,8.0,1.0,0.0,7.0,4.0,1,2020-12-28
dark,58.0,8.75,6.59,6.49,5.95,12,2020-12-28
floral,23.0,2.83,2.14,6.43,6.0,6,2021-01-18
toronto,12.0,1.5,0.71,6.15,4.8,2,2021-06-21
parting,8.0,2.0,0.0,6.0,2.67,1,2021-03-01
tie,13.0,2.5,0.93,5.45,3.71,8,2021-01-04
art,62.0,10.8,8.9,5.17,5.25,10,2021-01-04
lose,11.0,1.7,0.82,5.1,4.07,10,2021-01-04
short,25.0,5.0,3.05,4.94,4.17,12,2020-12-28
bird,9.0,1.33,0.58,4.86,3.86,3,2021-01-18
major,11.0,1.75,0.96,4.73,4.0,4,2021-01-11
door,8.0,1.29,0.49,4.51,3.5,7,2020-12-28
david,9.0,1.38,0.74,4.37,3.79,8,2021-01-04
challenge,9.0,1.75,0.71,4.25,3.27,8,2021-01-04
development,8.0,1.6,0.55,4.14,3.08,5,2021-01-25
drop,13.0,2.75,1.48,4.13,3.47,12,2020-12-28
black,24.0,6.82,3.22,4.07,3.07,11,2020-12-28
root,8.0,1.33,0.71,3.91,3.43,9,2021-01-11
career,8.0,1.62,0.74,3.66,3.05,8,2020-12-28
wall,55.0,10.8,11.19,3.63,4.66,5,2020-12-28
chanel,11.0,1.78,1.56,3.6,3.96,9,2020-12-28
dior,20.0,3.2,3.99,3.36,4.76,10,2020-12-28
shape,13.0,3.67,1.8,3.33,2.79,9,2021-01-18
australian,8.0,2.0,0.82,3.3,2.67,4,2020-12-28
mastodon,12.0,3.0,1.73,3.29,3.0,3,2025-12-01
symbolic,24.0,4.6,4.93,3.27,4.29,5,2021-01-11
goodwill,8.0,2.5,0.71,3.22,2.29,2,2022-12-19
thrifte,15.0,3.75,2.5,3.21,3.16,4,2021-09-20
sign,10.0,2.62,1.41,3.06,2.76,8,2020-12-28
