keyword,recent_mean,baseline_mean,momentum_pct,forecast_mean,forecast_pct,status,model
cottagecore,17.75,18.12,-2.0,22.94,29.2,Rising,LSTM
y2k fashion,21.88,23.5,-6.9,27.28,24.7,Rising,LSTM
quiet luxury,52.12,38.42,35.7,59.56,14.3,Stable,LSTM
