model,MAE,RMSE,MAPE,sMAPE,keyword
Naive,23.125,34.32018356594265,37.96017176205855,51.42597654897736,cottagecore
MA(4),24.875,37.1685350800916,38.56585384238686,57.16946159639882,cottagecore
"ARIMA(1,1,1)",23.913248789429957,36.22809884312824,36.38929029778243,53.35144360926345,cottagecore
"SARIMA(1,1,1)(1,0,1,52)",23.48457399236332,35.17797999185657,37.269412644607655,52.30837847826309,cottagecore
Prophet,28.24872245689891,39.635009274502735,48.929682827677276,72.84290267577344,cottagecore
XGBoost-lag8,24.122478008270264,35.857774376571015,37.62752536310253,54.9312125750537,cottagecore
LSTM,23.579974072084426,35.13041333157891,37.96012043537037,52.7644721462501,cottagecore
Naive,15.75,19.32614809008769,19.610141610161666,22.678813077480324,quiet luxury
MA(4),20.0,23.092206477510977,25.44271834246461,30.13425329003195,quiet luxury
"ARIMA(1,1,1)",16.266812638989627,19.881653716634265,20.26885213781334,23.552781594193924,quiet luxury
"SARIMA(1,1,1)(1,0,1,52)",16.531639098899532,20.150941166932416,20.61238753437345,24.005606205883755,quiet luxury
Prophet,33.67228091119945,35.392205004794675,44.61734605204848,58.11375025685365,quiet luxury
XGBoost-lag8,20.335339546203613,23.47651983756204,25.857409272834975,30.7729295484035,quiet luxury
LSTM,14.092469541076364,17.60175869297562,17.449442473983215,19.930921520673255,quiet luxury
Naive,22.0,32.07802986469088,35.079400703960154,45.55651992685779,y2k fashion
MA(4),23.5,34.56877203488721,35.540990389748536,49.82733362862232,y2k fashion
"ARIMA(1,1,1)",22.957206384419177,33.637192006923556,34.79425223754697,48.349948298017516,y2k fashion
"SARIMA(1,1,1)(1,0,1,52)",23.412697629592678,34.168663161024334,35.48405058552548,49.845347790401185,y2k fashion
Prophet,26.618197542953016,37.09685173967027,43.04951524002122,61.59750905475547,y2k fashion
XGBoost-lag8,22.660695791244507,33.51012280805423,34.35269533928998,47.25847523663865,y2k fashion
LSTM,21.97284322172661,32.44918520889498,33.62159060722067,45.3357622626793,y2k fashion
